『'25 東洋療法必携』
臨床医学各論 全362問

01. 感染症　19問
01-01 破傷風について誤っている記述はどれか。
 1. 病原体は土壌中に存在する。
 2. 外傷後の発症が多い。
 3. 内毒素により発症する。
 4. 筋肉のけいれんが特徴である。

01-02 循環式浴槽の水質汚染によって発生するのはどれか。
 1. B型肝炎
 2. レジオネラ肺炎
 3. ニューモシスチス肺炎
 4. サルモネラ腸炎

01-03 球麻痺の原因となる病巣はどれか。
 1. 延髄
 2. 海馬
 3. 前頭葉
 4. 小脳半球

01-04 球麻痺でみられるのはどれか。
 1. 舌萎縮
 2. 嗅覚障害
 3. 聴力低下
 4. 眼球運動障害








01-05 季節性インフルエンザウイルス感染症の特徴で正しいのはどれか。
 1. 膿性痰を認める。
 2. 潜伏期は1週間前後である。
 3. 感染経路は飛沫感染である。
 4. ワクチンで感染を防ぐことができる。

01-06 かぜ症候群について正しいのはどれか。
 1. ほとんどがウイルス感染である。
 2. 初期から呼吸音に異常がみられる。
 3. 主な感染経路は空気感染である。
 4. 抗菌薬を主に用いる。

01-07 風疹について誤っているのはどれか。
 1. 「三日ばしか」と言われる。
 2. リンパ節腫脹は２～３日で軽快する。
 3. 妊娠初期における感染に注意を要する。
 4. ワクチンが予防に有効である。

01-08 水痘の症状はどれか。
 1. 耳下腺の腫脹
 2. 両頬部のびまん性紅斑
 3. 水疱へと進行する紅斑
 4. 解熱前後の斑状丘疹性発疹

01-09 帯状疱疹について正しいのはどれか。
 1. 小児期に発症する。
 2. 神経支配領域に皮疹を認める。
 3. 抗菌薬を投与する。
 4. 再発はしない。

01-10 第1期梅毒でみられるのはどれか。
 1. ゴム腫
 2. 硬性下疳
 3. 梅毒性バラ疹
 4. 扁平コンジローマ

01-11 潜伏期間が最も長いのはどれか。
 1. 流行性耳下腺炎
 2. エイズ
 3. ジフテリア
 4. 破傷風

01-12 HIV感染によって最も傷害を受ける細胞はどれか。
 1. B細胞
 2. NK細胞
 3. CD4陽性T細胞
 4. 細胞傷害性T細胞

01-13 後天性免疫不全症候群について正しい記述はどれか。
 1. 我が国では発生が減少傾向にある。
 2. 発病前でも他人にうつす危険性がある。
 3. 細菌感染症である。
 4. 公衆浴場は感染の危険性がある。

01-14 感染症について正しいのはどれか。
 1. 風疹は「三日ばしか」と言われる。
 2. 日本脳炎はネズミの媒介によって感染する。
 3. 水痘は精巣炎を合併しやすい。
 4. 流行性耳下腺炎は空気感染する。

01-15 感染症で正しいのはどれか。
 1. 猩紅熱はウイルス感染症である。
 2. マイコプラズマ肺炎は若年者に好発する。
 3. ブドウ球菌感染症には耐性菌はない。
 4. 細菌性赤痢の潜伏期は約2週間である。

01-16 感染症について正しいのはどれか。
 1. 猩紅熱はウイルス感染症である。
 2. 結核は垂直感染する。
 3. 破傷風では筋のけいれんが起こる。
 4. エイズはワクチンにより予防可能である。

01-17 感染症について正しいのはどれか。
 1. 真菌は日和見感染の原因となる。
 2. マイコプラズマ肺炎の罹患は高齢者に多い。
 3. 梅毒の潜伏期間は2～3日である。
 4. 突発性発疹では口腔粘膜にコプリック斑がみられる。

　次の文について下記2問に答えよ。
「55歳の男性。夕食にしめさばを食べ就寝したところ1時間半後に強い心窩部痛で覚醒、救急搬送された。下痢は認めなかった。」

01-18 本疾患の発症について正しいのはどれか。
 1. イカの生食では発症しない。
