『'25 東洋療法必携』
はりきゅう理論 全194問

01. 鍼の基礎知識　9問
01-01 毫鍼について誤っているのはどれか。
 1. 5番鍼の鍼体径は0.26mmである。
 2. 2寸の鍼体長は60mmである。
 3. 鍼尖の形状の一つに卵型がある。
 4. 鍼体長は鍼尖から鍼根までをいう。

01-02 ２寸５番鍼を使用し、皮膚面に対し直刺で鍼体長の半分まで刺入したときの深度はどれか。
 1. 20mm
 2. 25mm
 3. 30mm
 4. 35mm

01-03 松葉形の鍼尖形状について正しいのはどれか。
 1. スリオロシ形と柳葉形の中間
 2. ノゲ形と卵形の中間
 3. 卵形とスリオロシ形の中間
 4. 柳葉形とノゲ形の中間

01-04 打鍼法で用いる鍼の鍼尖形状はどれか。
 1. 卵形
 2. 松葉形
 3. ノゲ形
 4. スリオロシ形

01-05 ステンレス鍼の特徴はどれか。
 1. 刺入痛が少ない。
 2. 曲がりやすい。
 3. 酸化しやすい。
 4. 低周波鍼通電療法に適する。

01-06 古代九鍼のうち圧迫を目的とするのはどれか。
 1. 員利鍼
 2. 鍉鍼
 3. 毫鍼
 4. 鋒鍼

01-07 古代九鍼で関節水腫の排液に用いられたのはどれか。
 1. 長鍼
 2. 大鍼
 3. 鋒鍼
 4. 鈹鍼

01-08 古代九鍼のうち三稜鍼のもとになったのはどれか。
 1. 鋒鍼
 2. 鈹鍼
 3. 大鍼
 4. 鑱鍼

01-09 古代九鍼で皮膚を切開するのはどれか。
 1. 円鍼
 2. 員利鍼
 3. 鈹鍼
 4. 鍉鍼

02. 灸の基礎知識　9問
02-01 施灸に用いる線香について誤っているのはどれか。
 1. 原料にはタブ粉を用いる。
 2. 生産量が最も多いのは兵庫県である。
 3. 湿気を含むと折れにくい。
 4. 途中で消えないものが望ましい。

02-02 艾炷製造工程で使用する用具と用途の組合せで正しいのはどれか。
 1. 裁断機 … 夾雑物をふるい落とす。
 2. 石臼 … 葉脈を除去する。
 3. けんどん（長唐箕） … 乾燥したヨモギを粉砕する。
 4. 唐箕 … 毛茸の表面付着物を除去する。

02-03 艾炷ついて誤っているのはどれか。
 1. ヨモギの葉の裏面には毛茸が多い。
 2. 毛茸は良質艾炷含まれる。
 3. 柄細胞は揮発性の精油を含む。
